ASASSN_id,distance,distance_low,distance_high,J_mag,J_mag_err,K_mag,K_mag_err,abs_mag_J,abs_mag_J_low,abs_mag_J_high,ext_correct_J,ext_correct_J_low,ext_correct_J_high,ext_correct_K,ext_correct_K_low,ext_correct_K_high,ML_classifier_type,visual_classification_type,VSX_type,VSX_RA,VSX_Dec,VSX_name
369367935771,5657,4907,6637,14.379,0.036,14.180,0.060,+0.616,+0.925,+0.269,0.000,0.000,0.000,0.000,0.000,0.000,RRL_c,NA,RRC,4.39679,-24.99687,SSS_J001735.0-245950
231928642758,5957,5309,6648,13.308,0.027,13.001,0.041,-0.574,-0.324,-0.812,0.007,0.007,0.007,0.003,0.003,0.003,RRL_ab,NA,RRAB,4.45174,-42.81382,SSS_J001748.4-424850
266288005399,1440,1397,1507,10.521,0.023,10.221,0.021,-0.502,-0.436,-0.601,0.231,0.231,0.231,0.099,0.099,0.099,RRL_ab,NA,RRAB,4.45241,+9.88949,FF Psc
154619602086,6937,6005,8717,13.840,0.026,13.478,0.039,-0.388,-0.075,-0.884,0.022,0.022,0.022,0.009,0.009,0.009,RRL_ab,NA,RRAB,4.50806,+26.74882,CSS_J001801.9+264455
42949677128,1743,1689,1795,11.869,0.023,11.718,0.018,+0.612,+0.680,+0.548,0.051,0.051,0.051,0.022,0.022,0.022,EB_ESD,EB,RRC,4.51567,+43.28278,CSS_J001803.7+431658
661428726466,5136,4183,6756,14.758,0.045,14.562,0.097,+1.176,+1.622,+0.581,0.029,0.029,0.029,0.012,0.012,0.012,RRL_c,NA,RRC,4.53362,+6.89456,CSS_J001808.0+065340
171799541201,5078,4381,5773,13.857,0.027,13.431,0.032,+0.329,+0.649,+0.050,0.000,0.000,0.000,0.000,0.000,0.000,CEPH_Other,RR(B),RRD,4.55404,+21.03375,CSS_J001812.9+210201
17181228817,99999,99999,99999,99.999,9.999,99.999,9.999,9.999,9.999,9.999,0.082,0.082,0.082,0.035,0.035,0.035,RRL_ab,NA,RRAB,4.56305,-85.46498,ASASSN-V J001815.11-852753.9
661428933394,410,408,412,9.092,0.020,8.821,0.013,+0.934,+0.945,+0.924,0.094,0.094,0.094,0.040,0.040,0.040,NonVar,RRC,RRC,4.59450,+55.53056,WISE J001822.6+553150
309238192516,4761,3992,5738,14.257,0.034,13.938,0.056,+0.869,+1.251,+0.463,0.000,0.000,0.000,0.000,0.000,0.000,RRL_ab,NA,RRAB,4.61899,-12.89009,CSS_J001828.5-125324
335008349653,6422,5303,7536,14.154,0.027,13.771,0.046,+0.015,+0.430,-0.333,0.101,0.101,0.101,0.043,0.043,0.043,RRL_ab,NA,RRAB,4.81215,+12.95881,CSS_J001914.9+125731
369367207892,7481,5848,9816,14.643,0.038,14.428,0.074,+0.273,+0.808,-0.317,0.000,0.000,0.000,0.000,0.000,0.000,RRL_c,NA,RRC,4.84718,-15.07478,CSS_J001923.3-150429
472447132311,7714,6483,9576,14.649,0.028,14.287,0.064,+0.177,+0.554,-0.293,0.036,0.036,0.036,0.015,0.015,0.015,RRL_ab,NA,RRAB,4.90004,+17.69036,SDSS J001936.02+174125.3
661428774878,3329,3045,3757,14.540,0.032,14.222,0.059,+1.892,+2.086,+1.630,0.036,0.036,0.036,0.015,0.015,0.015,EB_ESD,EW,RRC,4.95408,+18.80006,CSS_J001948.9+184800
249108534351,7262,6370,9142,13.439,0.023,13.083,0.037,-0.960,-0.676,-1.460,0.094,0.094,0.094,0.040,0.040,0.040,RRL_ab,NA,RRAB,4.96259,+22.69683,CSS_J001951.0+224148
